,Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company,Company_real
522,Symbol MC3070 Color,2005-01-01,2005,523,0.031220435,0.001047635,0.259662406,0.158273381,0.089430894,0.142857143,0.202728513,0.569672131,0.247594612,0.135944158,0.079310345,0.177940434,Symbol,Zebra Technologies
523,Symbol MC3070 Monochrome,2005-01-01,2005,524,0.015594958,0.001047635,0.15561496,0.158273381,0.089430894,0.142857143,0.202728513,0.569672131,0.247594612,0.135944158,0.06875,0.177940434,Symbol,Zebra Technologies
524,T-Mobile MDA Compact (HTC Magician),2005-01-01,2005,525,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.076972418,0.014859859,0.020474138,0.245078243,T-Mobile,T-Mobile
525,Typhoon MyGuide 2500 GO,2005-01-01,2005,526,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.306957708,0.086065574,0.121231559,0.029634071,0.015086207,0.17617365,Typhoon,HTC
526,CyberBank POZ X310,2005-02-01,2005,527,0.031220435,0.000523305,0.199635034,0.09352518,0.056910569,0.142857143,0.155525239,0.274590164,0.101988454,0.015116802,0.014224138,0.244068652,CyberBank,HTC
527,Daxian CU928 (HTC Harrier),2005-02-01,2005,528,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.177626194,0.31147541,0.080821039,0.066441128,0.0625,0.222110045,Daxian,HTC
528,O2 XDA IIi (HTC Alpine),2005-02-01,2005,529,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.088518281,0.029120185,0.028017241,0.17617365,O2,O2
529,Typhoon MyGuide M500,2005-02-01,2005,530,0.031220435,0.001047635,0.149612223,0.079136691,0.056910569,0.142857143,0.147885402,0.256967213,0.101988454,0.022503908,0.023706897,0.244068652,Typhoon,HTC
530,Dopod 699 (HTC Alpine),2005-03-01,2005,531,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.088518281,0.029120185,0.028017241,0.17617365,Dopod,HTC
531,Hitachi FLORA-ie MX1,2005-03-01,2005,532,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.301587302,0.2,0.446721311,0.091725465,0.04562876,0.044181034,0.390711762,Hitachi,"Hitachi, Ltd"
532,Lenovo ET960,2005-03-01,2005,533,0.031220435,0.001047635,0.15561496,0.079136691,0.056910569,0.142857143,0.151432469,0.25,0.085952534,0.01903518,0.016163793,0.244068652,Lenovo,Lenovo
533,Nokia 6682,2005-03-01,2005,534,0.009735405,0.000523305,0.109593975,0.028776978,0.030894309,0.087301587,0.133697135,0.245081967,0.101347017,0.005460035,0.015301724,0.345784957,Nokia,Nokia Corporation
534,Olympus R1000 TDA,2005-03-01,2005,535,0.062471389,0.004193611,0.099589413,0.129496403,0.056910569,0.142857143,0.189631651,0.340163934,0.063502245,0.024923452,0.025862069,0.17617365,Olympus,Olympus Corporation
535,PalmOne Treo 650 GSM,2005-03-01,2005,536,0.015594958,0.000523305,0.15561496,0.057553957,0.091056911,0.14484127,0.14324693,0.258196721,0.108402822,0.023103441,0.025862069,0.354114084,PalmOne,Palm
536,Symbol MC50 NAV,2005-03-01,2005,537,0.031220435,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.186903138,0.295081967,0.140474663,0.044964992,0.026293103,0.17617365,Symbol,Zebra Technologies
537,Symbol MC50 QWERTY,2005-03-01,2005,538,0.031220435,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.186903138,0.356557377,0.140474663,0.05170974,0.028448276,0.17617365,Symbol,Zebra Technologies
538,Yakumo PDA deltaX GPS,2005-03-01,2005,539,0.031220435,0.001047635,0.15561496,0.129496403,0.056910569,0.142857143,0.190995907,0.305327869,0.123797306,0.041945914,0.023491379,0.17617365,Yakumo,MiTAC International Corp
539,Asus P505,2005-04-01,2005,540,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.089159718,0.017386463,0.023706897,0.244068652,Asus,Asus
540,Data Evolution Clio NXT,2005-04-01,2005,541,0.031220435,0.001047635,0.199635034,0.625899281,0.284552846,0.281746032,0.593451569,0.979508197,0.127645927,0.325203948,0.288793103,0.096668349,Data,Data Evolution Corp
541,PalmOne Tungsten E2,2005-04-01,2005,542,0.015594958,0.000523305,0.099589413,0.100719424,0.089430894,0.142857143,0.195088677,0.266393443,0.057087877,0.019120827,0.015732759,0.250630994,PalmOne,Palm
542,Qtek S100 (HTC Magician),2005-04-01,2005,543,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.076972418,0.014838447,0.020474138,0.245078243,Qtek,HTC
543,Yakumo PDA deltaX 5 BT,2005-04-01,2005,544,0.031220435,0.008388246,0.149612223,0.129496403,0.056910569,0.142857143,0.178717599,0.27295082,0.075048108,0.022289789,0.023706897,0.17617365,Yakumo,MiTAC International Corp
544,I-Mate PDA2 Pocket PC (HTC Alpine),2005-05-01,2005,545,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.088518281,0.029120185,0.028017241,0.17617365,I-Mate,I-Mate
545,Intermec 730 I-Safe,2005-05-01,2005,546,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.225102319,0.528688525,0.204618345,0.119456994,0.093318966,0.17617365,Intermec,Intermec
546,Motorola E680i,2005-05-01,2005,547,0.023407697,0.000523305,0.15561496,0.057553957,0.056910569,0.142857143,0.129058663,0.245901639,0.092366902,0.005674154,0.015732759,0.535840485,Motorola,Motorola
547,PalmOne LifeDrive,2005-05-01,2005,548,0.015594958,0.000261141,0.207638683,0.151079137,0.089430894,0.222222222,0.181446112,0.295081967,0.08274535,0.026486521,0.028663793,0.273094397,PalmOne,Palm
548,Qtek 2020i (HTC Alpine),2005-05-01,2005,549,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.088518281,0.029120185,0.028017241,0.17617365,Qtek,HTC
549,Samsung SGH-D720,2005-05-01,2005,550,0.015594958,0.001047635,0.095587588,0.014388489,0.030894309,0.087301587,0.110504775,0.204918033,0.103912765,0.012782905,0.011853448,0.24432105,Samsung,Samsung
550,Trimble Recon,2005-05-01,2005,551,0.031220435,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.241473397,0.475409836,0.249518922,0.1415969,0.092672414,0.17617365,Trimble,Trimble Navigation
551,Vodafone VPA Compact (HTC Magician Refresh),2005-05-01,2005,552,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.079538165,0.015395157,0.020474138,0.245078243,Vodafone,Vodafone
552,Vodafone VPA III (HTC Gemini),2005-05-01,2005,553,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.177626194,0.31147541,0.080821039,0.026400874,0.032758621,0.17617365,Vodafone,Vodafone
553,Airis T470i,2005-06-01,2005,554,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.147885402,0.256967213,0.101988454,0.022503908,0.023706897,0.244068652,Airis,Airis
554,Asus MyPal A636N,2005-06-01,2005,555,0.031220435,0.002096294,0.207638683,0.129496403,0.056910569,0.142857143,0.181991814,0.299180328,0.080500321,0.026229578,0.027155172,0.176426047,Asus,Asus
555,BenQ P31,2005-06-01,2005,556,0.00778222,0.00078547,0.071576639,0.071942446,0.043902439,0.142857143,0.12414734,0.282786885,0.076330981,0.01419609,0.019396552,0.250378597,BenQ,BenQ
556,CyberBank POZ B300,2005-06-01,2005,557,0.031220435,0.001047635,0.259662406,0.057553957,0.056910569,0.142857143,0.12414734,0.298360656,0.121231559,0.025737105,0.029956897,0.17617365,CyberBank,HTC
557,DAP MICROFLEX CE8640B,2005-06-01,2005,558,0.062471389,0.002096294,0.259662406,0.345323741,0.219512195,0.103174603,0.609822647,0.557377049,0.281590763,0.321906516,0.176724138,0.17617365,DAP,Roper Technologies
558,DAP MICROFLEX CE8640BWE,2005-06-01,2005,559,0.062471389,0.002096294,0.259662406,0.345323741,0.219512195,0.103174603,0.609822647,0.557377049,0.281590763,0.321906516,0.176724138,0.17617365,DAP,Roper Technologies
559,Dopod 828+ (HTC Magician Refresh),2005-06-01,2005,560,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.076972418,0.014859859,0.020474138,0.245078243,Dopod,HTC
560,I-Mate PDA2k EVDO (HTC Harrier),2005-06-01,2005,561,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.17271487,0.31147541,0.080821039,0.025501574,0.032758621,0.17617365,I-Mate,I-Mate
561,MiTAC Mio 169 Digi-Walker,2005-06-01,2005,562,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.199181446,0.313934426,0.116100064,0.042288504,0.024224138,0.17617365,MiTAC,MiTAC International Corp
562,Navigon PNA Transonic 4000,2005-06-01,2005,563,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.323328786,0.118852459,0.089159718,0.032310558,0.02262931,0.17617365,Navigon,Navigon GmbH
563,Trimble Recon GPS XB / XC,2005-06-01,2005,564,0.031220435,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.241473397,0.475409836,0.249518922,0.1415969,0.092672414,0.17617365,Trimble,Trimble Navigation
564,Vodafone VDA (HTC Feeler),2005-06-01,2005,565,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.103683492,0.237704918,0.076330981,0.008907351,0.009051724,0.204694599,Vodafone,Vodafone
565,Garmin iQue M5,2005-07-01,2005,566,0.031220435,0.001047635,0.207638683,0.129496403,0.056910569,0.142857143,0.331514325,0.090163934,0.08274535,0.027535704,0.022844828,0.17617365,Garmin,Garmin Ltd
566,Motorola A910 / A910i (Motorola Martinique),2005-07-01,2005,567,0.023407697,0.001047635,0.15561496,0.057553957,0.056910569,0.142857143,0.121418827,0.180327869,0.108402822,0.013917735,0.014439655,0.295053004,Motorola,Motorola
567,Orange SPV C550 (HTC Hurricane),2005-07-01,2005,568,0.031220435,0.001047635,0.109593975,0.035971223,0.056910569,0.142857143,0.107776262,0.241803279,0.073123797,0.009164294,0.01012931,0.350832913,Orange,Orange UK
568,Orange SPV M2500 (HTC Alpine),2005-07-01,2005,569,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.088518281,0.029120185,0.028017241,0.17617365,Orange,Orange UK
569,Orange SPV M500 (HTC Magician),2005-07-01,2005,570,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.076972418,0.014859859,0.020474138,0.245078243,Orange,Orange UK
570,RoverPC M1,2005-07-01,2005,571,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.112414734,0.245901639,0.074406671,0.0102563,0.008189655,0.210499748,RoverPC,RoverComputers
571,Samsung SCH-i730,2005-07-01,2005,572,0.031220435,0.002096294,0.259662406,0.079136691,0.056910569,0.142857143,0.140518417,0.266393443,0.121231559,0.025951224,0.026508621,0.244068652,Samsung,Samsung
572,Vodafone v1620 (HTC Blue Angel Refresh),2005-07-01,2005,573,0.062471389,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.177626194,0.31147541,0.080821039,0.026400874,0.032758621,0.176678445,Vodafone,Vodafone
573,Dopod 566 / 586 (HTC Hurricane),2005-08-01,2005,574,0.031220435,0.001047635,0.109593975,0.035971223,0.056910569,0.142857143,0.107776262,0.245901639,0.08274535,0.010962893,0.01012931,0.337708228,Dopod,HTC
574,Garmin iQue M3,2005-08-01,2005,575,0.031220435,0.000523305,0.15561496,0.129496403,0.056910569,0.142857143,0.178717599,0.323770492,0.08274535,0.02804959,0.022844828,0.17617365,Garmin,Garmin Ltd
575,Hewlett-Packard iPAQ hw6515 (HTC Beetles),2005-08-01,2005,576,0.031220435,0.001047635,0.15561496,0.09352518,0.056910569,0.103174603,0.175989086,0.280737705,0.076330981,0.022718027,0.02262931,0.170620899,Hewlett-Packard,Hewlett-Packard
576,I-Mate New JAM / JAM Limited Edition (HTC Magician),2005-08-01,2005,577,0.062471389,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.076972418,0.014859859,0.020474138,0.245078243,I-Mate,I-Mate
577,Intermec 730B,2005-08-01,2005,578,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.225102319,0.528688525,0.204618345,0.119456994,0.077586207,0.17617365,Intermec,Intermec
578,Intermec CN2,2005-08-01,2005,579,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.21691678,0.442622951,0.185375241,0.091749995,0.066810345,0.17617365,Intermec,Intermec
579,Intermec CN2B,2005-08-01,2005,580,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.21691678,0.442622951,0.185375241,0.091749995,0.066810345,0.17617365,Intermec,Intermec
580,Krome Spy (HTC Magician Refresh),2005-08-01,2005,581,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.140518417,0.242622951,0.076972418,0.014881271,0.020474138,0.245078243,Krome,HTC
581,Mobile Crossing WayPoint 100,2005-08-01,2005,582,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.352459016,0.063502245,0.027086054,0.023706897,0.17617365,Mobile,HTC
582,Mobile Crossing WayPoint 200,2005-08-01,2005,583,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.352459016,0.063502245,0.027086054,0.023706897,0.17617365,Mobile,HTC
583,NEC Pocket@i EX,2005-08-01,2005,584,0.031220435,0.001047635,0.259662406,0.129496403,0.056910569,0.142857143,0.19781719,0.442622951,0.121231559,0.056955656,0.049568966,0.17617365,NEC,NEC Corporationæ
584,Panasonic X800,2005-08-01,2005,585,0.003875851,0.000523305,0.051567515,0.035971223,0.030894309,0.087301587,0.113233288,0.209016393,0.071199487,0.008243582,0.008405172,0.199899041,Panasonic,Panasonic
585,Qtek S110 (HTC Magician),2005-08-01,2005,586,0.062471389,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.14106412,0.24057377,0.076972418,0.014859859,0.020474138,0.245078243,Qtek,HTC
586,Samsung NEXiO XP40,2005-08-01,2005,587,0.062471389,0.002096294,0.259662406,0.237410072,0.284552846,0.222222222,0.405184175,0.172131148,0.044900577,0.030126544,0.038793103,0.358909642,Samsung,Samsung
587,TORQ P100,2005-08-01,2005,588,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.147885402,0.256967213,0.101988454,0.022503908,0.02262931,0.244068652,TORQ,TORQ
588,Yakumo PDA alphaX GPS,2005-08-01,2005,589,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.178717599,0.327868852,0.08274535,0.028349357,0.023706897,0.17617365,Yakumo,MiTAC International Corp
589,Dell Axim X51 Advanced,2005-09-01,2005,590,0.031220435,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.181446112,0.286885246,0.069275176,0.021990022,0.023060345,0.17617365,Dell,Dell
590,Dell Axim X51 Basic,2005-09-01,2005,591,0.031220435,0.002096294,0.207638683,0.129496403,0.056910569,0.142857143,0.181446112,0.286885246,0.069275176,0.021990022,0.023060345,0.433619384,Dell,Dell
591,Dell Axim X51v,2005-09-01,2005,592,0.031220435,0.004193611,0.311686129,0.151079137,0.154471545,0.301587302,0.181446112,0.286885246,0.069275176,0.021990022,0.023060345,0.17617365,Dell,Dell
592,I-Mate JASJAR (HTC Universal),2005-09-01,2005,593,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,I-Mate,I-Mate
593,Qtek 8200 (HTC Hurricane),2005-09-01,2005,594,0.031220435,0.001047635,0.109593975,0.035971223,0.056910569,0.142857143,0.107776262,0.241803279,0.073123797,0.009164294,0.01012931,0.350832913,Qtek,HTC
594,Athesi M3 Red,2005-10-01,2005,595,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.196725784,0.454918033,0.114817191,0.017450699,0.028017241,0.254164563,Athesi,Mobile Compia
595,Casio Cassiopeia DT-5200 M50,2005-10-01,2005,596,0.031220435,0.002096294,0.259662406,0.143884892,0.154471545,0.301587302,0.206002729,0.479508197,0.108402822,0.093398711,0.08512931,0.15345785,Casio,Casio
596,Casio Cassiopeia DT-5200 M50C,2005-10-01,2005,597,0.031220435,0.002096294,0.259662406,0.143884892,0.154471545,0.301587302,0.206002729,0.479508197,0.108402822,0.057598013,0.049568966,0.433619384,Casio,Casio
597,Casio Cassiopeia DT-5200 M50S,2005-10-01,2005,598,0.031220435,0.002096294,0.259662406,0.143884892,0.154471545,0.301587302,0.206002729,0.479508197,0.108402822,0.057598013,0.049568966,0.433619384,Casio,Casio
598,Casio Cassiopeia DT-5200 M50SC,2005-10-01,2005,599,0.031220435,0.002096294,0.259662406,0.143884892,0.154471545,0.301587302,0.206002729,0.479508197,0.108402822,0.057598013,0.049568966,0.433619384,Casio,Casio
599,Dopod 900 (HTC Universal),2005-10-01,2005,600,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,Dopod,HTC
600,Fourier Nova5000BX,2005-10-01,2005,601,0.031220435,0.002096294,0.199635034,0.381294964,0.284552846,0.222222222,0.628922237,0.56147541,0.23797306,0.398304177,0.181034483,0.22387683,Fourier,Fourier Systems
601,Fourier Nova5000EX,2005-10-01,2005,602,0.031220435,0.002096294,0.199635034,0.381294964,0.284552846,0.222222222,0.628922237,0.56147541,0.23797306,0.398304177,0.224137931,0.22387683,Fourier,Fourier Systems
602,Fourier Nova5000SX,2005-10-01,2005,603,0.031220435,0.002096294,0.199635034,0.381294964,0.284552846,0.222222222,0.628922237,0.56147541,0.23797306,0.398304177,0.224137931,0.22387683,Fourier,Fourier Systems
603,Hewlett-Packard iPAQ hw6510 (HTC Beetles),2005-10-01,2005,604,0.031220435,0.001047635,0.15561496,0.09352518,0.056910569,0.103174603,0.175989086,0.280737705,0.076330981,0.022718027,0.02262931,0.170620899,Hewlett-Packard,Hewlett-Packard
604,Hewlett-Packard iPAQ hx2190 / hx2195,2005-10-01,2005,605,0.031220435,0.002096294,0.15561496,0.129496403,0.056910569,0.142857143,0.191268759,0.287704918,0.065426555,0.02241826,0.0225,0.17617365,Hewlett-Packard,Hewlett-Packard
605,Hewlett-Packard iPAQ hx2490 / hx2495,2005-10-01,2005,606,0.031220435,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.191268759,0.287704918,0.065426555,0.02241826,0.0225,0.17617365,Hewlett-Packard,Hewlett-Packard
606,Hewlett-Packard iPAQ hx2790 / hx2795,2005-10-01,2005,607,0.031220435,0.003144952,0.311686129,0.129496403,0.056910569,0.142857143,0.191268759,0.287704918,0.065426555,0.02241826,0.0225,0.17617365,Hewlett-Packard,Hewlett-Packard
607,Hewlett-Packard iPAQ rx1950 / rx1955,2005-10-01,2005,608,0.015594958,0.001047635,0.149612223,0.129496403,0.056910569,0.142857143,0.174897681,0.264754098,0.047466325,0.01374644,0.014008621,0.17617365,Hewlett-Packard,Hewlett-Packard
608,I-Mate K-JAM (HTC Wizard 200),2005-10-01,2005,609,0.031220435,0.002096294,0.097088272,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.11289288,0.022354024,0.023275862,0.254164563,I-Mate,I-Mate
609,I-Mate SP5 (HTC Tornado Noble),2005-10-01,2005,610,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239918033,0.073123797,0.009164294,0.009913793,0.337708228,I-Mate,I-Mate
610,I-Mate SP5m (HTC Tornado Tempo),2005-10-01,2005,611,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.240819672,0.073123797,0.009207117,0.010021552,0.337708228,I-Mate,I-Mate
611,Intermec 741B / 751B / 761B,2005-10-01,2005,612,0.062471389,0.001047635,0.199635034,0.151079137,0.056910569,0.142857143,0.227830832,0.581967213,0.281590763,0.174592639,0.109482759,0.152195861,Intermec,Intermec
612,Motorola A1010,2005-10-01,2005,613,0.015594958,0.00078547,0.083582113,0.086330935,0.043902439,0.142857143,0.14324693,0.278688525,0.080821039,0.018200116,0.021551724,0.223119637,Motorola,Motorola
613,Motorola i930,2005-10-01,2005,614,0.015594958,0.001047635,0.099589413,0.035971223,0.030894309,0.093253968,0.115961801,0.159836066,0.1533034,0.018264351,0.023060345,0.210499748,Motorola,Motorola
614,O2 XDA Exec (HTC Universal),2005-10-01,2005,615,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,O2,O2
615,O2 XDA II mini Black (HTC Magician),2005-10-01,2005,616,0.031220435,0.001047635,0.207638683,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.076972418,0.014838447,0.019396552,0.245078243,O2,O2
616,O2 XDA Orion (HTC Tornado Noble),2005-10-01,2005,617,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239754098,0.073123797,0.009164294,0.009913793,0.337708228,O2,O2
617,Palm Z22,2005-10-01,2005,618,0.00778222,0.000523305,0.099589413,0.050359712,0.024390244,0.063492063,0.17053206,0.221311475,0.057087877,0.018949532,0.007758621,0.092125189,Palm,Palm
618,RIM BlackBerry 7105t,2005-10-01,2005,619,0.001922666,0.000523305,0.15561496,0.050359712,0.06504065,0.103174603,0.140518417,0.286885246,0.08274535,0.016294456,0.012931034,0.279151943,RIM,BlackBerry Limited
619,Samsung SGH-D730,2005-10-01,2005,620,0.015594958,0.001047635,0.095587588,0.007194245,0.030894309,0.087301587,0.110504775,0.18852459,0.095574086,0.011433955,0.007974138,0.273599192,Samsung,Samsung
620,Silicon-i i800,2005-10-01,2005,621,0.015594958,0.001047635,0.083582113,0.035971223,0.030894309,0.093253968,0.112414734,0.245901639,0.074406671,0.0102563,0.008189655,0.210499748,Silicon-i,Silicon-i
621,Sprint PPC-6700 (HTC Apache),2005-10-01,2005,622,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.121231559,0.024088388,0.027155172,0.244068652,Sprint,Sprint Corporation
622,T-Mobile MDA Pro (HTC Universal),2005-10-01,2005,623,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,T-Mobile,T-Mobile
623,Asus MyPal A632,2005-11-01,2005,624,0.031220435,0.002096294,0.207638683,0.129496403,0.056910569,0.142857143,0.181991814,0.299180328,0.080500321,0.026229578,0.027155172,0.17617365,Asus,Asus
624,Asus MyPal A636,2005-11-01,2005,625,0.031220435,0.002096294,0.207638683,0.129496403,0.056910569,0.142857143,0.181991814,0.299180328,0.080500321,0.026229578,0.027155172,0.176426047,Asus,Asus
625,Bluebird Pidion BM-150,2005-11-01,2005,626,0.031220435,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.18100955,0.351516393,0.079538165,0.087853029,0.074784483,0.464159515,Bluebird,Bluebird Soft Inc
626,CyberBank POZ X501,2005-11-01,2005,627,0.031220435,0.000523305,0.199635034,0.057553957,0.056910569,0.142857143,0.12414734,0.260245902,0.131494548,0.029998073,0.029956897,0.225391217,CyberBank,HTC
627,Data Evolution Clio C-1050,2005-11-01,2005,628,0.015594958,0.000392223,0.083582113,0.553956835,0.219512195,0.222222222,0.768076398,0.717213115,0.127645927,0.44609554,0.256465517,0.22387683,Data,Data Evolution Corp
628,Dopod 577W (HTC Tornado Noble),2005-11-01,2005,629,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239754098,0.073123797,0.009164294,0.009913793,0.337708228,Dopod,HTC
629,Dopod 586W (HTC Tornado Tempo),2005-11-01,2005,630,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239918033,0.073123797,0.009164294,0.010021552,0.337708228,Dopod,HTC
630,Fujitsu-Siemens Pocket LOOX N500,2005-11-01,2005,631,0.031220435,0.001047635,0.15561496,0.129496403,0.056910569,0.142857143,0.175989086,0.274590164,0.050673509,0.015245273,0.021551724,0.17617365,Fujitsu-Siemens,Fujitsu Ltd
631,Garmin iQue M4,2005-11-01,2005,632,0.031220435,0.000523305,0.15561496,0.129496403,0.056910569,0.142857143,0.178717599,0.323770492,0.08274535,0.02804959,0.022844828,0.17617365,Garmin,Garmin Ltd
632,Krome Mega M900i,2005-11-01,2005,633,0.015594958,0.001047635,0.083582113,0.035971223,0.030894309,0.093253968,0.112414734,0.245901639,0.074406671,0.0102563,0.008189655,0.210499748,Krome,HTC
633,Nokia N90 (Nokia Gromit),2005-11-01,2005,634,0.015594958,0.001047635,0.109593975,0.028776978,0.102439024,0.19047619,0.121418827,0.258196721,0.114817191,0.019955891,0.024353448,0.208480565,Nokia,Nokia Corporation
634,O2 XDA mini PRO (HTC Wizard 200),2005-11-01,2005,635,0.031220435,0.002096294,0.097088272,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.11289288,0.022354024,0.023491379,0.254164563,O2,O2
635,O2 XDA mini S (HTC Wizard 200),2005-11-01,2005,636,0.031220435,0.002096294,0.097088272,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.11289288,0.022354024,0.023491379,0.254164563,O2,O2
636,Orange SPV C600 (HTC Faraday),2005-11-01,2005,637,0.031220435,0.001047635,0.097088272,0.035971223,0.056910569,0.142857143,0.108321965,0.241803279,0.073123797,0.009249941,0.009698276,0.337708228,Orange,Orange UK
637,Orange SPV M3000 (HTC Wizard 200),2005-11-01,2005,638,0.031220435,0.002096294,0.097088272,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.11289288,0.022354024,0.023491379,0.254164563,Orange,Orange UK
638,Orange SPV M5000 (HTC Universal),2005-11-01,2005,639,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,Orange,Orange UK
639,Qtek 8300 (HTC Tornado Tempo),2005-11-01,2005,640,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239918033,0.073123797,0.009164294,0.010021552,0.337708228,Qtek,HTC
640,Qtek 8310 (HTC Tornado Noble),2005-11-01,2005,641,0.031220435,0.001047635,0.099589413,0.035971223,0.056910569,0.142857143,0.108321965,0.239754098,0.073123797,0.009164294,0.009913793,0.337708228,Qtek,HTC
641,Qtek 9000 (HTC Universal),2005-11-01,2005,642,0.031220435,0.002096294,0.259662406,0.136690647,0.219512195,0.222222222,0.203274216,0.322540984,0.121231559,0.045928527,0.048491379,0.448510853,Qtek,HTC
642,Qtek 9100 (HTC Wizard 200),2005-11-01,2005,643,0.031220435,0.002096294,0.097088272,0.079136691,0.056910569,0.142857143,0.140518417,0.241803279,0.11289288,0.022354024,0.023491379,0.254164563,Qtek,HTC
643,RIM BlackBerry 7130e,2005-11-01,2005,644,0.00778222,0.001047635,0.15561496,0.043165468,0.06504065,0.103174603,0.135061392,0.278688525,0.108402822,0.015373745,0.015732759,0.279151943,RIM,BlackBerry Limited
