Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Model B,Release Date B,Release Year B,Model ID B,Company_ID B,Old_ID C,Company C,Company_real C,New_ID C
Sony Clie PEG-T415C / PEG-T425C,2001/11/1,2001.833333,194,0.003875851,0.0000645,0.016051319,0.079136691,0.089430894,0.142857143,0.181446112,0.282786885,0.027581783,0.009742415,0.013362069,0.29656739,Sony Clie PEG-T415C / PEG-T425C,2001/11/1,2001.833333,194,167,167,Sony,Sony Corporation,123
Casio Cassiopeia E-200,2001/12/1,2001.916667,195,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.206002729,0.331967213,0.073123797,0.024687922,0.026939655,0.17617365,Casio Cassiopeia E-200,2001/12/1,2001.916667,195,33,33,Casio,Casio,26
Compaq iPAQ H3730,2001/12/1,2001.916667,196,0.015594958,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.210095498,0.331967213,0.061577935,0.027043231,0.024568966,0.152195861,Compaq iPAQ H3730,2001/12/1,2001.916667,196,39,39,Compaq,Compaq,32
Compaq iPAQ H3760 / H3765,2001/12/1,2001.916667,197,0.031220435,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.210095498,0.331967213,0.061577935,0.027043231,0.024568966,0.152195861,Compaq iPAQ H3760 / H3765,2001/12/1,2001.916667,197,39,39,Compaq,Compaq,32
CyberBank PC-EPhone II,2001/12/1,2001.916667,198,0.015594958,0.000523305,0.102590781,0.165467626,0.219512195,0.222222222,0.263301501,0.319672131,0.108402822,0.044087104,0.046336207,0.390711762,CyberBank PC-EPhone II,2001/12/1,2001.916667,198,44,44,CyberBank,HTC,61
Samsung SPH-i300,2001/12/1,2001.916667,199,0.003875851,0.0000317,0.016051319,0.086330935,0.056910569,0.063492063,0.140518417,0.307377049,0.095574086,0.022889322,0.023706897,0.137809187,Samsung SPH-i300,2001/12/1,2001.916667,199,156,156,Samsung,Samsung,113
Sony Clie PEG-N760C / PEG-N770C,2001/12/1,2001.916667,200,0.003875851,0.0000645,0.016051319,0.100719424,0.089430894,0.142857143,0.181446112,0.295081967,0.073123797,0.02366015,0.021551724,0.250630994,Sony Clie PEG-N760C / PEG-N770C,2001/12/1,2001.916667,200,167,167,Sony,Sony Corporation,123
Hewlett-Packard Jornada 728,2002/1/1,2002,201,0.031220435,0.000523305,0.102590781,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.098060345,0.15345785,Hewlett-Packard Jornada 728,2002/1/1,2002,201,77,77,Hewlett-Packard,Hewlett-Packard,58
Palm i705,2002/1/1,2002,202,0.003875851,0.0000645,0.016051319,0.09352518,0.024390244,0.063492063,0.19372442,0.282786885,0.060295061,0.020898015,0.023275862,0.078748107,Palm i705,2002/1/1,2002,202,136,136,Palm,Palm,102
Samsung NEXiO S150 / NEXiO S151,2002/1/1,2002,203,0.031220435,0.000523305,0.102590781,0.244604317,0.284552846,0.222222222,0.404638472,0.172131148,0.05644644,0.035500931,0.038793103,0.348056537,Samsung NEXiO S150 / NEXiO S151,2002/1/1,2002,203,156,156,Samsung,Samsung,113
Sony Clie PEG-S360,2002/1/1,2002,204,0.00778222,0.0000645,0.016051319,0.086330935,0.024390244,0.063492063,0.181446112,0.282786885,0.057087877,0.018221528,0.013146552,0.08404846,Sony Clie PEG-S360,2002/1/1,2002,204,167,167,Sony,Sony Corporation,123
Compaq iPAQ H3830 / H3835 / H3840 / H3850 (HTC Rosella),2002/2/1,2002.083333,205,0.031220435,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.210095498,0.348360656,0.061577935,0.027043231,0.024568966,0.152195861,Compaq iPAQ H3830 / H3835 / H3840 / H3850 (HTC Rosella),2002/2/1,2002.083333,205,39,39,Compaq,Compaq,32
Handspring Treo 180,2002/2/1,2002.083333,206,0.00778222,0.0000645,0.016051319,0.079136691,0.024390244,0.063492063,0.17053206,0.25,0.076330981,0.019806008,0.01875,0.095153963,Handspring Treo 180,2002/2/1,2002.083333,206,75,75,Handspring,Handspring Inc,56
Handspring Treo 180g,2002/2/1,2002.083333,207,0.00778222,0.0000645,0.016051319,0.079136691,0.024390244,0.063492063,0.17053206,0.25,0.076330981,0.019806008,0.01875,0.095153963,Handspring Treo 180g,2002/2/1,2002.083333,207,75,75,Handspring,Handspring Inc,56
Compaq iPAQ H3870 / H3875 (HTC Rosella),2002/3/1,2002.166667,208,0.031220435,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.210095498,0.348360656,0.061577935,0.027043231,0.024568966,0.152195861,Compaq iPAQ H3870 / H3875 (HTC Rosella),2002/3/1,2002.166667,208,39,39,Compaq,Compaq,32
Hewlett-Packard Jornada 928 WDA,2002/3/1,2002.166667,209,0.031220435,0.000523305,0.065573902,0.129496403,0.056910569,0.142857143,0.194542974,0.360655738,0.067992303,0.028670535,0.02887931,0.17617365,Hewlett-Packard Jornada 928 WDA,2002/3/1,2002.166667,209,77,77,Hewlett-Packard,Hewlett-Packard,58
Palm m130,2002/3/1,2002.166667,210,0.003875851,0.0000645,0.016051319,0.079136691,0.024390244,0.063492063,0.198362892,0.299180328,0.101988454,0.036079053,0.020905172,0.095153963,Palm m130,2002/3/1,2002.166667,210,136,136,Palm,Palm,102
Palm m515,2002/3/1,2002.166667,211,0.00778222,0.0000645,0.016051319,0.086330935,0.024390244,0.063492063,0.192360164,0.26557377,0.04233483,0.014388797,0.017025862,0.08404846,Palm m515,2002/3/1,2002.166667,211,136,136,Palm,Palm,102
Siemens SX45i,2002/3/1,2002.166667,212,0.015594958,0.000261141,0.074578008,0.129496403,0.056910569,0.142857143,0.219645293,0.35,0.130853111,0.056912832,0.05237069,0.17617365,Siemens SX45i,2002/3/1,2002.166667,212,160,160,Siemens,Siemens?AG,117
Sony Clie PEG-T615C / PEG-T625C,2002/3/1,2002.166667,213,0.00778222,0.0000645,0.016051319,0.09352518,0.089430894,0.142857143,0.181446112,0.282786885,0.04425914,0.014538681,0.017241379,0.26476527,Sony Clie PEG-T615C / PEG-T625C,2002/3/1,2002.166667,213,167,167,Sony,Sony Corporation,123
Handspring Treo 90,2002/4/1,2002.25,214,0.00778222,0.0000645,0.016051319,0.086330935,0.024390244,0.063492063,0.175989086,0.241803279,0.063502245,0.016829754,0.011853448,0.086572438,Handspring Treo 90,2002/4/1,2002.25,214,75,75,Handspring,Handspring Inc,56
O2 XDA (HTC Wallaby),2002/4/1,2002.25,215,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931,0.17617365,O2 XDA (HTC Wallaby),2002/4/1,2002.25,215,125,125,O2,O2,95
Siemens SIMpad SL4,2002/4/1,2002.25,216,0.031220435,0.000523305,0.102590781,0.482014388,0.284552846,0.281746032,0.699863574,0.540983607,0.140474663,0.275956577,0.198275862,0.18753155,Siemens SIMpad SL4,2002/4/1,2002.25,216,160,160,Siemens,Siemens?AG,117
Siemens SIMpad SLC,2002/4/1,2002.25,217,0.031220435,0.000523305,0.102590781,0.482014388,0.284552846,0.281746032,0.699863574,0.540983607,0.140474663,0.275956577,0.198275862,0.18753155,Siemens SIMpad SLC,2002/4/1,2002.25,217,160,160,Siemens,Siemens?AG,117
T-Mobile MDA (HTC Wallaby),2002/4/1,2002.25,218,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931,0.17617365,T-Mobile MDA (HTC Wallaby),2002/4/1,2002.25,218,174,174,T-Mobile,T-Mobile,128
Toshiba Genio e570,2002/4/1,2002.25,219,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.323328786,0.116803279,0.073123797,0.026850524,0.026724138,0.17617365,Toshiba Genio e570,2002/4/1,2002.25,219,186,186,Toshiba,Toshiba Corporation,136
Audiovox Maestro PDA-1032,2002/5/1,2002.333333,220,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.323328786,0.116803279,0.073123797,0.026850524,0.026724138,0.17617365,Audiovox Maestro PDA-1032,2002/5/1,2002.333333,220,21,21,Audiovox,HTC,61
Casio BE-300 Pocket Manager,2002/5/1,2002.333333,221,0.00778222,0.000261141,0.082581657,0.107913669,0.056910569,0.142857143,0.189631651,0.295081967,0.075689545,0.065070766,0.07112069,0.22387683,Casio BE-300 Pocket Manager,2002/5/1,2002.333333,221,33,33,Casio,Casio,26
Dopod 686 (HTC Wallaby),2002/5/1,2002.333333,222,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931,0.17617365,Dopod 686 (HTC Wallaby),2002/5/1,2002.333333,222,53,53,Dopod,HTC,61
Handspring Treo 270,2002/5/1,2002.333333,223,0.00778222,0.0000645,0.016051319,0.086330935,0.024390244,0.063492063,0.175989086,0.241803279,0.095574086,0.025030512,0.020043103,0.086572438,Handspring Treo 270,2002/5/1,2002.333333,223,75,75,Handspring,Handspring Inc,56
NEC MobilePro P300,2002/5/1,2002.333333,224,0.015594958,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.189631651,0.290983607,0.079538165,0.026679228,0.027586207,0.152195861,NEC MobilePro P300,2002/5/1,2002.333333,224,121,121,NEC,NEC Corporation?,91
Qtek 1010 / 1020 (HTC Wallaby),2002/5/1,2002.333333,225,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931,0.17617365,Qtek 1010 / 1020 (HTC Wallaby),2002/5/1,2002.333333,225,147,147,Qtek,HTC,61
Sony Clie PEG-NR70,2002/5/1,2002.333333,226,0.00778222,0.000130058,0.032558847,0.151079137,0.154471545,0.142857143,0.179536153,0.359016393,0.067992303,0.025865576,0.030172414,0.273094397,Sony Clie PEG-NR70,2002/5/1,2002.333333,226,167,167,Sony,Sony Corporation,123
Sony Clie PEG-NR70V,2002/5/1,2002.333333,227,0.00778222,0.000130058,0.032558847,0.151079137,0.154471545,0.142857143,0.179536153,0.359016393,0.067992303,0.025865576,0.030172414,0.273094397,Sony Clie PEG-NR70V,2002/5/1,2002.333333,227,167,167,Sony,Sony Corporation,123
CyberBank PC-EPhone III,2002/6/1,2002.416667,228,0.031220435,0.000523305,0.102590781,0.165467626,0.219512195,0.222222222,0.260572988,0.319672131,0.08274535,0.054985761,0.045258621,0.390711762,CyberBank PC-EPhone III,2002/6/1,2002.416667,228,44,44,CyberBank,HTC,61
Sagem WA3050,2002/6/1,2002.416667,229,0.00778222,0.000261141,0.102590781,0.158273381,0.056910569,0.142857143,0.20218281,0.33442623,0.066709429,0.027749823,0.029741379,0.146895507,Sagem WA3050,2002/6/1,2002.416667,229,155,155,Sagem,MiTAC International Corp,84
Sony Clie PEG-T665C / PEG-T675C,2002/6/1,2002.416667,230,0.00778222,0.000130058,0.032558847,0.09352518,0.089430894,0.142857143,0.181446112,0.282786885,0.04425914,0.014538681,0.017241379,0.26476527,Sony Clie PEG-T665C / PEG-T675C,2002/6/1,2002.416667,230,167,167,Sony,Sony Corporation,123
Sony Clie PEG-SL10 /  PEG-SL10U / PEG-SL10E,2002/7/1,2002.5,231,0.003875851,0.0000645,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.066709429,0.016936813,0.009267241,0.29656739,Sony Clie PEG-SL10 /  PEG-SL10U / PEG-SL10E,2002/7/1,2002.5,231,167,167,Sony,Sony Corporation,123
Acer s50,2002/8/1,2002.583333,232,0.00778222,0.0000645,0.016051319,0.100719424,0.089430894,0.142857143,0.195088677,0.299180328,0.04425914,0.017043873,0.018318966,0.250630994,Acer s50,2002/8/1,2002.583333,232,4,4,Acer,Acer,3
Acer s60,2002/8/1,2002.583333,233,0.00778222,0.0000645,0.016051319,0.100719424,0.089430894,0.142857143,0.195088677,0.299180328,0.04425914,0.017043873,0.018318966,0.250630994,Acer s60,2002/8/1,2002.583333,233,4,4,Acer,Acer,3
Asus MyPal A600,2002/8/1,2002.583333,234,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.186903138,0.31147541,0.042976267,0.016251633,0.016810345,0.17617365,Asus MyPal A600,2002/8/1,2002.583333,234,18,18,Asus,Asus,14
Fujitsu-Siemens Pocket LOOX 600,2002/8/1,2002.583333,235,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.206002729,0.340163934,0.069916613,0.029955249,0.024784483,0.17617365,Fujitsu-Siemens Pocket LOOX 600,2002/8/1,2002.583333,235,64,64,Fujitsu-Siemens,Fujitsu Ltd,50
Handspring Treo 300,2002/8/1,2002.583333,236,0.00778222,0.0000645,0.016051319,0.086330935,0.024390244,0.063492063,0.175989086,0.241803279,0.094291212,0.024709333,0.021982759,0.086572438,Handspring Treo 300,2002/8/1,2002.583333,236,75,75,Handspring,Handspring Inc,56
Hewlett-Packard iPAQ H3950 / H3955,2002/8/1,2002.583333,237,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.348360656,0.061577935,0.028178061,0.026724138,0.152195861,Hewlett-Packard iPAQ H3950 / H3955,2002/8/1,2002.583333,237,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard iPAQ H3970 / H3975,2002/8/1,2002.583333,238,0.031220435,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.348360656,0.061577935,0.028178061,0.026724138,0.152195861,Hewlett-Packard iPAQ H3970 / H3975,2002/8/1,2002.583333,238,77,77,Hewlett-Packard,Hewlett-Packard,58
Sony Clie PEG-SJ20 / PEG-SJ20U / PEG-SJ20E,2002/8/1,2002.583333,239,0.00778222,0.0000645,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.073123797,0.018542706,0.014008621,0.29656739,Sony Clie PEG-SJ20 / PEG-SJ20U / PEG-SJ20E,2002/8/1,2002.583333,239,167,167,Sony,Sony Corporation,123
Sony Clie PEG-SJ30 / PEG-SJ30U / PEG-SJ30E,2002/8/1,2002.583333,240,0.00778222,0.0000645,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862,0.29656739,Sony Clie PEG-SJ30 / PEG-SJ30U / PEG-SJ30E,2002/8/1,2002.583333,240,167,167,Sony,Sony Corporation,123
ViewSonic Pocket PC V35,2002/8/1,2002.583333,241,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.190995907,0.301229508,0.041693393,0.015844807,0.0125,0.17617365,ViewSonic Pocket PC V35,2002/8/1,2002.583333,241,199,199,ViewSonic,ViewSonic,145
Yakumo PDA Alpha,2002/8/1,2002.583333,242,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.191814461,0.294262295,0.049390635,0.017964585,0.016810345,0.17617365,Yakumo PDA Alpha,2002/8/1,2002.583333,242,207,207,Yakumo,MiTAC International Corp,84
Audiovox Thera PDA-2032,2002/9/1,2002.666667,243,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.192360164,0.323770492,0.089159718,0.032760208,0.029741379,0.17617365,Audiovox Thera PDA-2032,2002/9/1,2002.666667,243,21,21,Audiovox,HTC,61
Toshiba e740,2002/9/1,2002.666667,244,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.031430404,0.013810676,0.017241379,0.17617365,Toshiba e740,2002/9/1,2002.666667,244,186,186,Toshiba,Toshiba Corporation,136
Toshiba Genio e310,2002/9/1,2002.666667,245,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.04041052,0.01678693,0.017241379,0.17617365,Toshiba Genio e310,2002/9/1,2002.666667,245,186,186,Toshiba,Toshiba Corporation,136
Siemens SX56 (HTC Wallaby),2002/10/1,2002.75,246,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931,0.17617365,Siemens SX56 (HTC Wallaby),2002/10/1,2002.75,246,160,160,Siemens,Siemens?AG,117
Sony Clie PEG-NX60 / PEG-NX60U,2002/10/1,2002.75,247,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.179536153,0.359016393,0.111610006,0.040254373,0.034482759,0.273094397,Sony Clie PEG-NX60 / PEG-NX60U,2002/10/1,2002.75,247,167,167,Sony,Sony Corporation,123
Sony Clie PEG-NX70V,2002/10/1,2002.75,248,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.179536153,0.359016393,0.111610006,0.040254373,0.034482759,0.273094397,Sony Clie PEG-NX70V,2002/10/1,2002.75,248,167,167,Sony,Sony Corporation,123
Toshiba Genio e330,2002/10/1,2002.75,249,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.025657473,0.011905017,0.018211207,0.17617365,Toshiba Genio e330,2002/10/1,2002.75,249,186,186,Toshiba,Toshiba Corporation,136
Toshiba Thera 2032,2002/10/1,2002.75,250,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.192360164,0.323770492,0.089159718,0.032760208,0.029741379,0.17617365,Toshiba Thera 2032,2002/10/1,2002.75,250,186,186,Toshiba,Toshiba Corporation,136
Casio BE-500 Pocket Manager,2002/11/1,2002.833333,251,0.00778222,0.000261141,0.082581657,0.107913669,0.056910569,0.142857143,0.189631651,0.295081967,0.075689545,0.02580134,0.02112069,0.204442201,Casio BE-500 Pocket Manager,2002/11/1,2002.833333,251,33,33,Casio,Casio,26
Dell Axim X5 Advanced,2002/11/1,2002.833333,252,0.031220435,0.00078547,0.199635034,0.129496403,0.056910569,0.142857143,0.204638472,0.323770492,0.076330981,0.020898015,0.017025862,0.17617365,Dell Axim X5 Advanced,2002/11/1,2002.833333,252,50,50,Dell,Dell,39
Dell Axim X5 Basic,2002/11/1,2002.833333,253,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.204638472,0.323770492,0.076330981,0.020898015,0.017241379,0.17617365,Dell Axim X5 Basic,2002/11/1,2002.833333,253,50,50,Dell,Dell,39
MiTAC Mio 338 Digi-Walker,2002/11/1,2002.833333,254,0.019501328,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.191814461,0.29795082,0.041051956,0.015566452,0.0125,0.17617365,MiTAC Mio 338 Digi-Walker,2002/11/1,2002.833333,254,113,113,MiTAC,MiTAC International Corp,84
Orange SPV (HTC Canary),2002/11/1,2002.833333,255,0.00778222,0.000392223,0.065573902,0.035971223,0.030894309,0.093253968,0.113233288,0.274590164,0.101988454,0.01678693,0.012931034,0.210499748,Orange SPV (HTC Canary),2002/11/1,2002.833333,255,133,133,Orange,Orange UK,100
Dopod 515 (HTC Canary),2002/12/1,2002.916667,256,0.015594958,0.000523305,0.065573902,0.035971223,0.030894309,0.093253968,0.113233288,0.274590164,0.101988454,0.01678693,0.014439655,0.210499748,Dopod 515 (HTC Canary),2002/12/1,2002.916667,256,53,53,Dopod,HTC,61
Hewlett-Packard iPAQ H1910  / H1915 (HTC Kiwi),2002/12/1,2002.916667,257,0.031220435,0.000261141,0.099589413,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.012931034,0.17617365,Hewlett-Packard iPAQ H1910  / H1915 (HTC Kiwi),2002/12/1,2002.916667,257,77,77,Hewlett-Packard,Hewlett-Packard,58
Casio Cassiopeia E-3000,2003/1/1,2003,260,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.186903138,0.352459016,0.073765234,0.030511959,0.028017241,0.17617365,Casio Cassiopeia E-3000,2003/1/1,2003,260,33,33,Casio,Casio,26
Coxion WebBook Mobile Computer,2003/1/1,2003,261,0.062471389,0.000523305,0.102590781,0.381294964,0.284552846,0.222222222,0.596180082,0.352459016,0.1533034,0.043166392,0.068965517,0.358909642,Coxion WebBook Mobile Computer,2003/1/1,2003,261,42,42,Coxion,Coxion,35
CyberBank POZ 0850,2003/1/1,2003,262,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.179263302,0.32704918,0.071199487,0.043252039,0.050646552,0.390711762,CyberBank POZ 0850,2003/1/1,2003,262,44,44,CyberBank,HTC,61
Medion MDPPC 100 (MD7200),2003/1/1,2003,263,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365,Medion MDPPC 100 (MD7200),2003/1/1,2003,263,107,107,Medion,MiTAC International Corp,84
MiTAC Mio 728 PDA Phone,2003/1/1,2003,264,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.189631651,0.360655738,0.101988454,0.039612016,0.026939655,0.17617365,MiTAC Mio 728 PDA Phone,2003/1/1,2003,264,113,113,MiTAC,MiTAC International Corp,84
Samsung NEXiO S160 / NEXiO S165,2003/1/1,2003,265,0.062471389,0.001047635,0.199635034,0.237410072,0.284552846,0.222222222,0.405184175,0.172131148,0.046824888,0.031025844,0.040948276,0.358909642,Samsung NEXiO S160 / NEXiO S165,2003/1/1,2003,265,156,156,Samsung,Samsung,113
Hewlett-Packard iPAQ H5450 / H5455,2002/12/1,2002.916667,258,0.031220435,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.344262295,0.062860808,0.028370768,0.031465517,0.152195861,Hewlett-Packard iPAQ H5450 / H5455,2002/12/1,2002.916667,258,77,77,Hewlett-Packard,Hewlett-Packard,58
Symbol PDT 8000,2002/12/1,2002.916667,259,0.062471389,0.001047635,0.199635034,0.158273381,0.056910569,0.142857143,0.23165075,0.553278689,0.246311738,0.150804017,0.127586207,0.146895507,Symbol PDT 8000,2002/12/1,2002.916667,259,173,173,Symbol,Zebra Technologies,152
Sony Clie PEG-NZ90 / PEG-NZ90U,2003/1/1,2003,266,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.186903138,0.37704918,0.101988454,0.017022461,0.050215517,0.060575467,Sony Clie PEG-NZ90 / PEG-NZ90U,2003/1/1,2003,266,167,167,Sony,Sony Corporation,123
Symbol PPT 8800,2003/1/1,2003,267,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.205457026,0.397540984,0.168697883,0.073399996,0.053017241,0.17617365,Symbol PPT 8800,2003/1/1,2003,267,173,173,Symbol,Zebra Technologies,152
Yakumo PDA Delta 200,2003/1/1,2003,268,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.197271487,0.29795082,0.031430404,0.013146907,0.0125,0.17617365,Yakumo PDA Delta 200,2003/1/1,2003,268,207,207,Yakumo,MiTAC International Corp,84
Kyocera 7135,2003/2/1,2003.083333,269,0.00778222,0.000130058,0.016051319,0.057553957,0.024390244,0.063492063,0.150341064,0.212295082,0.087235407,0.016744106,0.027155172,0.114588592,Kyocera 7135,2003/2/1,2003.083333,269,100,100,Kyocera,Kyocera Corporation,74
Motorola A760,2003/2/1,2003.083333,270,0.00778222,0.000523305,0.099589413,0.057553957,0.056910569,0.142857143,0.126875853,0.209016393,0.095574086,0.019313534,0.012931034,0.295053004,Motorola A760,2003/2/1,2003.083333,270,116,116,Motorola,Motorola,87
Sony Ericsson P800 / P802 (SE Linnea),2003/2/1,2003.083333,271,0.00778222,0.000457764,0.077579376,0.09352518,0.043902439,0.142857143,0.14324693,0.270491803,0.133418858,0.029634071,0.02112069,0.207723372,Sony Ericsson P800 / P802 (SE Linnea),2003/2/1,2003.083333,271,213,213,Sony Ericsson,Sony Ericsson,124
E-TEN InfoTouch P600,2003/3/1,2003.166667,272,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.200545703,0.352459016,0.076330981,0.032182087,0.032327586,0.17617365,E-TEN InfoTouch P600,2003/3/1,2003.166667,272,55,55,E-TEN,"E-TEN Information Systems Co., Ltd",43
Nokia 3600,2003/3/1,2003.166667,273,0.003875851,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.137789905,0.331967213,0.127645927,0.008628996,0.015086207,0.469207471,Nokia 3600,2003/3/1,2003.166667,273,122,122,Nokia,Nokia Corporation,92
Samsung SPH-i330,2003/3/1,2003.166667,274,0.00778222,0.0000645,0.016051319,0.086330935,0.056910569,0.063492063,0.159618008,0.31147541,0.076330981,0.010877246,0.023706897,0.291771832,Samsung SPH-i330,2003/3/1,2003.166667,274,156,156,Samsung,Samsung,113
Samsung SPH-i700,2003/3/1,2003.166667,275,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.173260573,0.340163934,0.066709429,0.0232105,0.021982759,0.17617365,Samsung SPH-i700,2003/3/1,2003.166667,275,156,156,Samsung,Samsung,113
Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,2003/3/1,2003.166667,276,0.00778222,0.0000645,0.016051319,0.079136691,0.089430894,0.142857143,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862,0.29656739,Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,2003/3/1,2003.166667,276,167,167,Sony,Sony Corporation,123
Sony Clie PEG-TG50 / PEG-TG50U,2003/3/1,2003.166667,277,0.00778222,0.000261141,0.099589413,0.09352518,0.089430894,0.142857143,0.177626194,0.31557377,0.041051956,0.014709976,0.02112069,0.272084806,Sony Clie PEG-TG50 / PEG-TG50U,2003/3/1,2003.166667,277,167,167,Sony,Sony Corporation,123
Toshiba e750 / e755,2003/3/1,2003.166667,278,0.031220435,0.001047635,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.307377049,0.057087877,0.022011434,0.030172414,0.152195861,Toshiba e750 / e755,2003/3/1,2003.166667,278,186,186,Toshiba,Toshiba Corporation,136
Toshiba Genio e350,2003/3/1,2003.166667,279,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.19781719,0.31147541,0.025657473,0.011905017,0.019181034,0.17617365,Toshiba Genio e350,2003/3/1,2003.166667,279,186,186,Toshiba,Toshiba Corporation,136
Acer n20,2003/4/1,2003.25,280,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.043617704,0.018714001,0.025862069,0.152195861,Acer n20,2003/4/1,2003.25,280,4,4,Acer,Acer,3
Acer n20w,2003/4/1,2003.25,281,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.19781719,0.327868852,0.08659397,0.033316918,0.037715517,0.152195861,Acer n20w,2003/4/1,2003.25,281,4,4,Acer,Acer,3
Casio Cassiopeia IT-500 M30,2003/4/1,2003.25,282,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.050510674,0.049568966,0.433619384,Casio Cassiopeia IT-500 M30,2003/4/1,2003.25,282,33,33,Casio,Casio,26
Casio Cassiopeia IT-500 M30B,2003/4/1,2003.25,283,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365,Casio Cassiopeia IT-500 M30B,2003/4/1,2003.25,283,33,33,Casio,Casio,26
Casio Cassiopeia IT-500 M30CB,2003/4/1,2003.25,284,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276,0.17617365,Casio Cassiopeia IT-500 M30CB,2003/4/1,2003.25,284,33,33,Casio,Casio,26
